"Id","ActivityDate","Hour","METs"
4702921684,2016-04-20,"s-PM6",20
4702921684,2016-04-20,"t-PM7",21
4702921684,2016-04-20,"u-PM8",25
4702921684,2016-04-20,"v-PM9",24
4702921684,2016-04-20,"w-PM10",17
4702921684,2016-04-20,"x-PM11",10
4702921684,2016-04-21,"a-AM12",10
4702921684,2016-04-21,"b-AM1",10
4702921684,2016-04-21,"c-AM2",10
4702921684,2016-04-21,"d-AM3",10
4702921684,2016-04-21,"e-AM4",10
4702921684,2016-04-21,"f-AM5",11
4702921684,2016-04-21,"g-AM6",25
4702921684,2016-04-21,"h-AM7",19
4702921684,2016-04-21,"i-AM8",11
4702921684,2016-04-21,"j-AM9",10
4702921684,2016-04-21,"k-AM10",10
4702921684,2016-04-21,"l-AM11",10
4702921684,2016-04-21,"m-PM12",14
4702921684,2016-04-21,"n-PM1",12
4702921684,2016-04-21,"o-PM2",13
4702921684,2016-04-21,"p-PM3",13
4702921684,2016-04-21,"q-PM4",14
4702921684,2016-04-21,"r-PM5",25
4702921684,2016-04-21,"s-PM6",19
4702921684,2016-04-21,"t-PM7",22
4702921684,2016-04-21,"u-PM8",17
4702921684,2016-04-21,"v-PM9",10
4702921684,2016-04-21,"w-PM10",10
4702921684,2016-04-21,"x-PM11",10
4702921684,2016-04-22,"a-AM12",10
4702921684,2016-04-22,"b-AM1",10
4702921684,2016-04-22,"c-AM2",10
4702921684,2016-04-22,"d-AM3",10
4702921684,2016-04-22,"e-AM4",10
4702921684,2016-04-22,"f-AM5",10
4702921684,2016-04-22,"g-AM6",10
4702921684,2016-04-22,"h-AM7",10
4702921684,2016-04-22,"i-AM8",10
4702921684,2016-04-22,"j-AM9",10
4702921684,2016-04-22,"k-AM10",10
4702921684,2016-04-22,"l-AM11",10
4702921684,2016-04-22,"m-PM12",10
4702921684,2016-04-22,"n-PM1",10
4702921684,2016-04-22,"o-PM2",10
4702921684,2016-04-22,"p-PM3",10
4702921684,2016-04-22,"q-PM4",10
4702921684,2016-04-22,"r-PM5",10
4702921684,2016-04-22,"s-PM6",10
4702921684,2016-04-22,"t-PM7",10
4702921684,2016-04-22,"u-PM8",18
4702921684,2016-04-22,"v-PM9",23
4702921684,2016-04-22,"w-PM10",16
4702921684,2016-04-22,"x-PM11",10
4702921684,2016-04-23,"a-AM12",10
4702921684,2016-04-23,"b-AM1",10
4702921684,2016-04-23,"c-AM2",10
4702921684,2016-04-23,"d-AM3",10
4702921684,2016-04-23,"e-AM4",10
4702921684,2016-04-23,"f-AM5",10
4702921684,2016-04-23,"g-AM6",10
4702921684,2016-04-23,"h-AM7",13
4702921684,2016-04-23,"i-AM8",14
4702921684,2016-04-23,"j-AM9",28
4702921684,2016-04-23,"k-AM10",22
4702921684,2016-04-23,"l-AM11",33
4702921684,2016-04-23,"m-PM12",29
4702921684,2016-04-23,"n-PM1",24
4702921684,2016-04-23,"o-PM2",24
4702921684,2016-04-23,"p-PM3",27
4702921684,2016-04-23,"q-PM4",23
4702921684,2016-04-23,"r-PM5",21
4702921684,2016-04-23,"s-PM6",16
4702921684,2016-04-23,"t-PM7",21
