"Id","ActivityDate","Hour","StepTotal"
4558609924,2016-05-05,"m-PM12",887
4558609924,2016-05-05,"n-PM1",244
4558609924,2016-05-05,"o-PM2",127
4558609924,2016-05-05,"p-PM3",451
4558609924,2016-05-05,"q-PM4",1183
4558609924,2016-05-05,"r-PM5",768
4558609924,2016-05-05,"s-PM6",520
4558609924,2016-05-05,"t-PM7",444
4558609924,2016-05-05,"u-PM8",447
4558609924,2016-05-05,"v-PM9",325
4558609924,2016-05-05,"w-PM10",186
4558609924,2016-05-05,"x-PM11",17
4558609924,2016-05-06,"a-AM12",9
4558609924,2016-05-06,"b-AM1",0
4558609924,2016-05-06,"c-AM2",0
4558609924,2016-05-06,"d-AM3",0
4558609924,2016-05-06,"e-AM4",0
4558609924,2016-05-06,"f-AM5",0
4558609924,2016-05-06,"g-AM6",0
4558609924,2016-05-06,"h-AM7",0
4558609924,2016-05-06,"i-AM8",0
4558609924,2016-05-06,"j-AM9",571
4558609924,2016-05-06,"k-AM10",596
4558609924,2016-05-06,"l-AM11",366
4558609924,2016-05-06,"m-PM12",547
4558609924,2016-05-06,"n-PM1",331
4558609924,2016-05-06,"o-PM2",212
4558609924,2016-05-06,"p-PM3",183
4558609924,2016-05-06,"q-PM4",348
4558609924,2016-05-06,"r-PM5",57
4558609924,2016-05-06,"s-PM6",49
4558609924,2016-05-06,"t-PM7",43
4558609924,2016-05-06,"u-PM8",70
4558609924,2016-05-06,"v-PM9",321
4558609924,2016-05-06,"w-PM10",42
4558609924,2016-05-06,"x-PM11",10
4558609924,2016-05-07,"a-AM12",0
4558609924,2016-05-07,"b-AM1",0
4558609924,2016-05-07,"c-AM2",0
4558609924,2016-05-07,"d-AM3",0
4558609924,2016-05-07,"e-AM4",0
4558609924,2016-05-07,"f-AM5",0
4558609924,2016-05-07,"g-AM6",0
4558609924,2016-05-07,"h-AM7",0
4558609924,2016-05-07,"i-AM8",49
4558609924,2016-05-07,"j-AM9",292
4558609924,2016-05-07,"k-AM10",263
4558609924,2016-05-07,"l-AM11",382
4558609924,2016-05-07,"m-PM12",97
4558609924,2016-05-07,"n-PM1",79
4558609924,2016-05-07,"o-PM2",361
4558609924,2016-05-07,"p-PM3",602
4558609924,2016-05-07,"q-PM4",4281
4558609924,2016-05-07,"r-PM5",121
4558609924,2016-05-07,"s-PM6",241
4558609924,2016-05-07,"t-PM7",428
4558609924,2016-05-07,"u-PM8",495
4558609924,2016-05-07,"v-PM9",169
4558609924,2016-05-07,"w-PM10",370
4558609924,2016-05-07,"x-PM11",7
4558609924,2016-05-08,"a-AM12",0
4558609924,2016-05-08,"b-AM1",0
4558609924,2016-05-08,"c-AM2",0
4558609924,2016-05-08,"d-AM3",0
4558609924,2016-05-08,"e-AM4",0
4558609924,2016-05-08,"f-AM5",0
4558609924,2016-05-08,"g-AM6",0
