"Id","ActivityDate","Hour","Calories"
6775888955,2016-04-21,"q-PM4",77
6775888955,2016-04-21,"r-PM5",77
6775888955,2016-04-21,"s-PM6",77
6775888955,2016-04-21,"t-PM7",77
6775888955,2016-04-21,"u-PM8",77
6775888955,2016-04-21,"v-PM9",77
6775888955,2016-04-21,"w-PM10",77
6775888955,2016-04-21,"x-PM11",77
6775888955,2016-04-22,"a-AM12",77
6775888955,2016-04-22,"b-AM1",77
6775888955,2016-04-22,"c-AM2",77
6775888955,2016-04-22,"d-AM3",77
6775888955,2016-04-22,"e-AM4",77
6775888955,2016-04-22,"f-AM5",77
6775888955,2016-04-22,"g-AM6",77
6775888955,2016-04-22,"h-AM7",86
6775888955,2016-04-22,"i-AM8",149
6775888955,2016-04-22,"j-AM9",77
6775888955,2016-04-22,"k-AM10",77
6775888955,2016-04-22,"l-AM11",77
6775888955,2016-04-22,"m-PM12",77
6775888955,2016-04-22,"n-PM1",77
6775888955,2016-04-22,"o-PM2",77
6775888955,2016-04-22,"p-PM3",77
6775888955,2016-04-22,"q-PM4",77
6775888955,2016-04-22,"r-PM5",77
6775888955,2016-04-22,"s-PM6",77
6775888955,2016-04-22,"t-PM7",77
6775888955,2016-04-22,"u-PM8",77
6775888955,2016-04-22,"v-PM9",77
6775888955,2016-04-22,"w-PM10",77
6775888955,2016-04-22,"x-PM11",77
6775888955,2016-04-23,"a-AM12",77
6775888955,2016-04-23,"b-AM1",77
6775888955,2016-04-23,"c-AM2",77
6775888955,2016-04-23,"d-AM3",77
6775888955,2016-04-23,"e-AM4",77
6775888955,2016-04-23,"f-AM5",77
6775888955,2016-04-23,"g-AM6",77
6775888955,2016-04-23,"h-AM7",77
6775888955,2016-04-23,"i-AM8",77
6775888955,2016-04-23,"j-AM9",77
6775888955,2016-04-23,"k-AM10",77
6775888955,2016-04-23,"l-AM11",77
6775888955,2016-04-23,"m-PM12",77
6775888955,2016-04-23,"n-PM1",77
6775888955,2016-04-23,"o-PM2",77
6775888955,2016-04-23,"p-PM3",77
6775888955,2016-04-23,"q-PM4",77
6775888955,2016-04-23,"r-PM5",77
6775888955,2016-04-23,"s-PM6",77
6775888955,2016-04-23,"t-PM7",77
6775888955,2016-04-23,"u-PM8",77
6775888955,2016-04-23,"v-PM9",77
6775888955,2016-04-23,"w-PM10",77
6775888955,2016-04-23,"x-PM11",77
6775888955,2016-04-24,"a-AM12",77
6775888955,2016-04-24,"b-AM1",77
6775888955,2016-04-24,"c-AM2",77
6775888955,2016-04-24,"d-AM3",77
6775888955,2016-04-24,"e-AM4",77
6775888955,2016-04-24,"f-AM5",77
6775888955,2016-04-24,"g-AM6",77
6775888955,2016-04-24,"h-AM7",77
6775888955,2016-04-24,"i-AM8",77
6775888955,2016-04-24,"j-AM9",77
6775888955,2016-04-24,"k-AM10",77
6775888955,2016-04-24,"l-AM11",174
6775888955,2016-04-24,"m-PM12",77
6775888955,2016-04-24,"n-PM1",77
6775888955,2016-04-24,"o-PM2",77
6775888955,2016-04-24,"p-PM3",77
6775888955,2016-04-24,"q-PM4",77
6775888955,2016-04-24,"r-PM5",77
6775888955,2016-04-24,"s-PM6",191
6775888955,2016-04-24,"t-PM7",77
6775888955,2016-04-24,"u-PM8",77
6775888955,2016-04-24,"v-PM9",77
6775888955,2016-04-24,"w-PM10",77
6775888955,2016-04-24,"x-PM11",77
6775888955,2016-04-25,"a-AM12",77
6775888955,2016-04-25,"b-AM1",77
6775888955,2016-04-25,"c-AM2",77
6775888955,2016-04-25,"d-AM3",77
6775888955,2016-04-25,"e-AM4",77
6775888955,2016-04-25,"f-AM5",77
6775888955,2016-04-25,"g-AM6",77
6775888955,2016-04-25,"h-AM7",77
6775888955,2016-04-25,"i-AM8",77
6775888955,2016-04-25,"j-AM9",193
6775888955,2016-04-25,"k-AM10",191
6775888955,2016-04-25,"l-AM11",181
6775888955,2016-04-25,"m-PM12",292
6775888955,2016-04-25,"n-PM1",167
6775888955,2016-04-25,"o-PM2",77
6775888955,2016-04-25,"p-PM3",77
6775888955,2016-04-25,"q-PM4",77
6775888955,2016-04-25,"r-PM5",77
6775888955,2016-04-25,"s-PM6",77
6775888955,2016-04-25,"t-PM7",77
6775888955,2016-04-25,"u-PM8",77
6775888955,2016-04-25,"v-PM9",77
6775888955,2016-04-25,"w-PM10",77
6775888955,2016-04-25,"x-PM11",77
6775888955,2016-04-26,"a-AM12",77
6775888955,2016-04-26,"b-AM1",77
6775888955,2016-04-26,"c-AM2",77
6775888955,2016-04-26,"d-AM3",77
6775888955,2016-04-26,"e-AM4",77
6775888955,2016-04-26,"f-AM5",273
6775888955,2016-04-26,"g-AM6",322
6775888955,2016-04-26,"h-AM7",77
6775888955,2016-04-26,"i-AM8",227
6775888955,2016-04-26,"j-AM9",104
6775888955,2016-04-26,"k-AM10",77
6775888955,2016-04-26,"l-AM11",77
6775888955,2016-04-26,"m-PM12",78
6775888955,2016-04-26,"n-PM1",77
6775888955,2016-04-26,"o-PM2",77
6775888955,2016-04-26,"p-PM3",77
6775888955,2016-04-26,"q-PM4",77
6775888955,2016-04-26,"r-PM5",77
6775888955,2016-04-26,"s-PM6",126
6775888955,2016-04-26,"t-PM7",151
6775888955,2016-04-26,"u-PM8",77
6775888955,2016-04-26,"v-PM9",77
6775888955,2016-04-26,"w-PM10",77
6775888955,2016-04-26,"x-PM11",77
6775888955,2016-04-27,"a-AM12",77
6775888955,2016-04-27,"b-AM1",77
6775888955,2016-04-27,"c-AM2",77
6775888955,2016-04-27,"d-AM3",77
6775888955,2016-04-27,"e-AM4",77
6775888955,2016-04-27,"f-AM5",77
6775888955,2016-04-27,"g-AM6",77
6775888955,2016-04-27,"h-AM7",77
6775888955,2016-04-27,"i-AM8",77
6775888955,2016-04-27,"j-AM9",77
6775888955,2016-04-27,"k-AM10",77
6775888955,2016-04-27,"l-AM11",77
6775888955,2016-04-27,"m-PM12",77
6775888955,2016-04-27,"n-PM1",77
6775888955,2016-04-27,"o-PM2",77
6775888955,2016-04-27,"p-PM3",77
6775888955,2016-04-27,"q-PM4",77
6775888955,2016-04-27,"r-PM5",77
6775888955,2016-04-27,"s-PM6",77
