"Id","ActivityDate","Hour","Value"
6962181067,2016-05-02,"s-PM6",88
6962181067,2016-05-02,"t-PM7",101
6962181067,2016-05-02,"u-PM8",77
6962181067,2016-05-02,"v-PM9",76
6962181067,2016-05-02,"w-PM10",73
6962181067,2016-05-02,"x-PM11",69
6962181067,2016-05-03,"a-AM12",65
6962181067,2016-05-03,"b-AM1",67
6962181067,2016-05-03,"c-AM2",67
6962181067,2016-05-03,"d-AM3",63
6962181067,2016-05-03,"e-AM4",66
6962181067,2016-05-03,"f-AM5",62
6962181067,2016-05-03,"g-AM6",64
6962181067,2016-05-03,"h-AM7",85
6962181067,2016-05-03,"i-AM8",87
6962181067,2016-05-03,"j-AM9",69
6962181067,2016-05-03,"k-AM10",79
6962181067,2016-05-03,"l-AM11",94
6962181067,2016-05-03,"m-PM12",92
6962181067,2016-05-03,"n-PM1",85
6962181067,2016-05-03,"o-PM2",73
6962181067,2016-05-03,"p-PM3",86
6962181067,2016-05-03,"q-PM4",74
6962181067,2016-05-03,"r-PM5",73
6962181067,2016-05-03,"s-PM6",77
6962181067,2016-05-03,"t-PM7",72
6962181067,2016-05-03,"u-PM8",72
6962181067,2016-05-03,"v-PM9",66
6962181067,2016-05-03,"w-PM10",68
6962181067,2016-05-03,"x-PM11",65
6962181067,2016-05-04,"a-AM12",66
6962181067,2016-05-04,"b-AM1",66
6962181067,2016-05-04,"c-AM2",66
6962181067,2016-05-04,"d-AM3",62
6962181067,2016-05-04,"e-AM4",62
6962181067,2016-05-04,"f-AM5",61
6962181067,2016-05-04,"g-AM6",65
6962181067,2016-05-04,"h-AM7",82
6962181067,2016-05-04,"i-AM8",80
6962181067,2016-05-04,"j-AM9",104
6962181067,2016-05-04,"k-AM10",118
6962181067,2016-05-04,"l-AM11",90
6962181067,2016-05-04,"m-PM12",79
6962181067,2016-05-04,"n-PM1",67
6962181067,2016-05-04,"o-PM2",70
6962181067,2016-05-04,"p-PM3",71
6962181067,2016-05-04,"q-PM4",68
6962181067,2016-05-04,"r-PM5",85
6962181067,2016-05-04,"s-PM6",82
6962181067,2016-05-04,"t-PM7",88
6962181067,2016-05-04,"u-PM8",80
6962181067,2016-05-04,"v-PM9",72
6962181067,2016-05-04,"w-PM10",70
6962181067,2016-05-04,"x-PM11",67
6962181067,2016-05-05,"a-AM12",66
6962181067,2016-05-05,"b-AM1",69
6962181067,2016-05-05,"c-AM2",67
6962181067,2016-05-05,"d-AM3",64
6962181067,2016-05-05,"e-AM4",65
6962181067,2016-05-05,"f-AM5",61
6962181067,2016-05-05,"g-AM6",64
6962181067,2016-05-05,"h-AM7",63
6962181067,2016-05-05,"i-AM8",87
6962181067,2016-05-05,"j-AM9",90
6962181067,2016-05-05,"k-AM10",80
6962181067,2016-05-05,"l-AM11",79
6962181067,2016-05-05,"m-PM12",84
6962181067,2016-05-05,"n-PM1",66
6962181067,2016-05-05,"o-PM2",68
6962181067,2016-05-05,"p-PM3",74
6962181067,2016-05-05,"q-PM4",80
6962181067,2016-05-05,"r-PM5",81
6962181067,2016-05-05,"s-PM6",84
6962181067,2016-05-05,"t-PM7",104
6962181067,2016-05-05,"u-PM8",84
6962181067,2016-05-05,"x-PM11",65
6962181067,2016-05-06,"a-AM12",65
6962181067,2016-05-06,"b-AM1",64
6962181067,2016-05-06,"c-AM2",63
6962181067,2016-05-06,"d-AM3",58
6962181067,2016-05-06,"e-AM4",60
6962181067,2016-05-06,"f-AM5",60
6962181067,2016-05-06,"g-AM6",62
6962181067,2016-05-06,"h-AM7",79
6962181067,2016-05-06,"i-AM8",85
6962181067,2016-05-06,"j-AM9",78
6962181067,2016-05-06,"k-AM10",72
6962181067,2016-05-06,"l-AM11",68
6962181067,2016-05-06,"m-PM12",74
6962181067,2016-05-06,"n-PM1",76
6962181067,2016-05-06,"o-PM2",73
6962181067,2016-05-06,"p-PM3",70
6962181067,2016-05-06,"q-PM4",72
6962181067,2016-05-06,"r-PM5",74
6962181067,2016-05-06,"s-PM6",80
6962181067,2016-05-06,"t-PM7",68
6962181067,2016-05-06,"u-PM8",79
6962181067,2016-05-06,"v-PM9",78
6962181067,2016-05-06,"w-PM10",84
6962181067,2016-05-06,"x-PM11",71
6962181067,2016-05-07,"a-AM12",72
6962181067,2016-05-07,"b-AM1",75
6962181067,2016-05-07,"c-AM2",78
6962181067,2016-05-07,"d-AM3",66
6962181067,2016-05-07,"e-AM4",65
6962181067,2016-05-07,"f-AM5",65
6962181067,2016-05-07,"g-AM6",67
6962181067,2016-05-07,"h-AM7",64
6962181067,2016-05-07,"i-AM8",67
6962181067,2016-05-07,"j-AM9",88
6962181067,2016-05-07,"k-AM10",81
6962181067,2016-05-07,"l-AM11",84
6962181067,2016-05-07,"m-PM12",72
6962181067,2016-05-07,"n-PM1",74
6962181067,2016-05-07,"o-PM2",84
6962181067,2016-05-07,"p-PM3",70
6962181067,2016-05-07,"q-PM4",85
6962181067,2016-05-07,"r-PM5",82
6962181067,2016-05-07,"s-PM6",89
6962181067,2016-05-07,"t-PM7",89
